Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision;idRame
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 17:51:38+0200;2025-06-19T17:51:53+02:00;Temps réel;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 17:54:00+0200;2025-06-19T17:54:12+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:25:30+0200;2025-06-19T18:25:42+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 17:53:22+0200;2025-06-19T17:53:37+02:00;Temps réel;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 17:55:45+0200;2025-06-19T17:55:57+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:37:06+0200;2025-06-19T18:37:18+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 17:55:09+0200;2025-06-19T17:55:24+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 17:57:30+0200;2025-06-19T17:57:42+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:05:14+0200;2025-06-19T19:05:26+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 17:58:39+0200;2025-06-19T17:58:54+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:02:45+0200;2025-06-19T18:02:57+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:13:41+0200;2025-06-19T19:13:53+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:03:54+0200;2025-06-19T18:04:09+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:11:30+0200;2025-06-19T18:11:42+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:16:30+0200;2025-06-19T19:16:42+02:00;Applicable;
1001;a;0;La Poterie;5004;Anatole France;48.1180502320746, -1.68752858803596;2025-06-19 18:07:24+0200;2025-06-19T18:07:39+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 18:16:45+0200;2025-06-19T18:16:57+02:00;Applicable;
1001;a;0;La Poterie;5003;Pontchaillou;48.1215347379187, -1.69334980647373;2025-06-19 19:24:57+0200;2025-06-19T19:25:09+02:00;Applicable;
