annee;mois;date;jourSemaine;semaine;identifiantLigne;nomCourtLigne;typeLigne;categorieLigne;Frequentation
2024;Octobre;2024-10-16;Mercredi;42;155;155ex;Express;Régulières Métropolitaines;303.52941
2024;Août;2024-08-30;Vendredi;35;32;32;Inter-quartiers;Régulières Urbaines;756.47059
2024;Juillet;2024-07-22;Lundi;30;32;32;Inter-quartiers;Régulières Urbaines;543.52941
2024;Octobre;2024-10-16;Mercredi;42;156;156ex;Express;Régulières Métropolitaines;181.17647
2024;Août;2024-08-30;Vendredi;35;37;37;Inter-quartiers;Régulières Urbaines;136.47059
2024;Juillet;2024-07-22;Lundi;30;74;74;Métropolitaine;Régulières Métropolitaines;732.94118
2024;Octobre;2024-10-16;Mercredi;42;159;159ex;Express;Régulières Métropolitaines;255.29412
2024;Août;2024-08-30;Vendredi;35;52;52;Métropolitaine;Régulières Métropolitaines;2043.52941
2024;Juillet;2024-07-22;Lundi;30;76;76;Métropolitaine;Régulières Métropolitaines;380.0
2024;Octobre;2024-10-16;Mercredi;42;161;161ex;Express;Régulières Métropolitaines;691.76471
2024;Août;2024-08-30;Vendredi;35;62;62;Métropolitaine;Régulières Métropolitaines;992.94118
2024;Juillet;2024-07-22;Lundi;30;77;77;Métropolitaine;Régulières Métropolitaines;1350.58824
2024;Octobre;2024-10-16;Mercredi;42;167;167ex;Express;Régulières Métropolitaines;72.94118
2024;Août;2024-08-30;Vendredi;35;73;73;Métropolitaine;Régulières Métropolitaines;710.58824
2024;Juillet;2024-07-22;Lundi;30;79;79;Métropolitaine;Régulières Métropolitaines;143.52941
2024;Octobre;2024-10-16;Mercredi;42;173;173ex;Express;Régulières Métropolitaines;150.58824
2024;Août;2024-08-30;Vendredi;35;74;74;Métropolitaine;Régulières Métropolitaines;850.58824
2024;Juillet;2024-07-23;Mardi;30;6;C6;CHRONOSTAR;CHRONOSTAR;8741.17647
2024;Octobre;2024-10-16;Mercredi;42;175;175ex;Express;Régulières Métropolitaines;50.58824
2024;Août;2024-08-30;Vendredi;35;75;75;Métropolitaine;Régulières Métropolitaines;384.70588
2024;Juillet;2024-07-23;Mardi;30;56;56;Métropolitaine;Régulières Métropolitaines;805.88235
2024;Octobre;2024-10-16;Mercredi;42;1002;b;Métro;METRO;89981.13773
2024;Août;2024-08-30;Vendredi;35;80;80;Métropolitaine;Régulières Métropolitaines;498.82353
2024;Juillet;2024-07-23;Mardi;30;59;59;Métropolitaine;Régulières Métropolitaines;1382.35294
2024;Octobre;2024-10-16;Mercredi;42;9999;9999;Non identifié;Non identifiée;6365.88235
2024;Août;2024-08-31;Samedi;35;1;C1;CHRONOSTAR;CHRONOSTAR;6877.64706
2024;Juillet;2024-07-23;Mardi;30;64;64;Métropolitaine;Régulières Métropolitaines;709.41176
2024;Octobre;2024-10-17;Jeudi;42;2;C2;CHRONOSTAR;CHRONOSTAR;11287.05882
2024;Août;2024-08-31;Samedi;35;12;12;Urbaine;Régulières Urbaines;2998.82353
2024;Juillet;2024-07-23;Mardi;30;65;65;Métropolitaine;Régulières Métropolitaines;469.41176
2024;Octobre;2024-10-17;Jeudi;42;7;C7;CHRONOSTAR;CHRONOSTAR;4898.82353
2024;Août;2024-08-31;Samedi;35;14;14;Urbaine;Régulières Urbaines;2538.82353
2024;Juillet;2024-07-23;Mardi;30;72;72;Métropolitaine;Régulières Métropolitaines;1608.23529
2024;Octobre;2024-10-17;Jeudi;42;62;62;Métropolitaine;Régulières Métropolitaines;1468.23529
2024;Août;2024-08-31;Samedi;35;52;52;Métropolitaine;Régulières Métropolitaines;1256.47059
2024;Juillet;2024-07-23;Mardi;30;75;75;Métropolitaine;Régulières Métropolitaines;488.23529
2024;Octobre;2024-10-17;Jeudi;42;72;72;Métropolitaine;Régulières Métropolitaines;2682.35294
2024;Août;2024-08-31;Samedi;35;55;55;Métropolitaine;Régulières Métropolitaines;1270.58824
2024;Juillet;2024-07-23;Mardi;30;78;78;Métropolitaine;Régulières Métropolitaines;1009.41176
2024;Octobre;2024-10-17;Jeudi;42;74;74;Métropolitaine;Régulières Métropolitaines;1440.0
2024;Août;2024-08-31;Samedi;35;61;61;Métropolitaine;Régulières Métropolitaines;848.23529
2024;Juillet;2024-07-23;Mardi;30;79;79;Métropolitaine;Régulières Métropolitaines;158.82353
2024;Octobre;2024-10-17;Jeudi;42;156;156ex;Express;Régulières Métropolitaines;192.94118
2024;Août;2024-08-31;Samedi;35;74;74;Métropolitaine;Régulières Métropolitaines;540.0
2024;Juillet;2024-07-23;Mardi;30;80;80;Métropolitaine;Régulières Métropolitaines;470.58824
2024;Octobre;2024-10-17;Jeudi;42;1001;a;Métro;METRO;165008.70352
2024;Août;2024-08-31;Samedi;35;9999;9999;Non identifié;Non identifiée;120.0
2024;Juillet;2024-07-23;Mardi;30;81;81;Métropolitaine;Régulières Métropolitaines;404.70588
2024;Octobre;2024-10-17;Jeudi;42;1002;b;Métro;METRO;105268.54084
2024;Septembre;2024-09-01;Dimanche;35;32;32;Inter-quartiers;Régulières Urbaines;2.35294
